date,strategy,row_type,nav,benchmark_nav,daily_return,benchmark_return,active_return,core_weight,satellite_weight,turnover,transaction_cost_gbp,signal_generated,executed_pending,market_snapshot_hash,strategy_hash,previous_chain_hash,chain_hash,payload_json
2026-09-16,V3,BASELINE,100,100,0,0,0,0.752143203187,0.247856796813,0,0,False,False,6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625,5328cecd88d1b39cc3c978a3c80834f8ba060199129cdff2f8b56e2b93fa1c05,GENESIS,eb3a01f861dcc97546a72b3e2ba1bb419ab7b097a2e68c113527957d67afb764,"{""active_overlay_cap"":0.25,""active_regime"":""FIXED_25"",""active_return"":0.0,""benchmark_nav"":100.0,""benchmark_return"":0.0,""core_weight"":0.7521432031867843,""cost_drag_return"":0.0,""daily_return"":0.0,""date"":""2026-09-16"",""dispersion"":0.09228258307248971,""executed_pending"":false,""gross_overlay_return"":0.0,""high_dispersion_threshold"":0.08240276991853526,""market_snapshot_hash"":""6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625"",""medium_dispersion_threshold"":0.07194193477815533,""nav"":100.0,""pending_overlay_cap"":null,""pending_regime"":null,""pending_target"":null,""row_type"":""BASELINE"",""satellite_weight"":0.24785679681321565,""satellite_weights"":{""EEM"":0.0,""EFA"":0.0,""IWM"":0.0789868198133937,""SPY"":0.0,""VNQ"":0.0,""XLE"":0.08889645500130938,""XLF"":0.0,""XLI"":0.0,""XLK"":0.07997352199851258,""XLP"":0.0,""XLU"":0.0,""XLV"":0.0,""XLY"":0.0},""signal_generated"":false,""strategy"":""V3"",""strategy_hash"":""5328cecd88d1b39cc3c978a3c80834f8ba060199129cdff2f8b56e2b93fa1c05"",""top_signal_scores"":{""IWM"":0.3607168346544065,""SPY"":0.3883802038560482,""XLE"":1.278622918187183,""XLK"":1.4166404958096162,""XLV"":0.757961938903507},""transaction_cost_gbp"":0.0,""turnover"":0.0}"
2026-09-16,V4,BASELINE,100,100,0,0,0,0.873149110354,0.126850889646,0,0,False,False,6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625,a4c08098b3eefbfc9651d779a27997e0a80ae6a482063c2ff37a63f6a39609ab,GENESIS,f412ea80021b3ab5b6388d65dfa5aacacafbc54d4679a2364351ce4fc0470054,"{""active_overlay_cap"":0.175,""active_regime"":""MEDIUM"",""active_return"":0.0,""benchmark_nav"":100.0,""benchmark_return"":0.0,""core_weight"":0.87314911035383,""cost_drag_return"":0.0,""daily_return"":0.0,""date"":""2026-09-16"",""dispersion"":0.09228258307248971,""executed_pending"":false,""gross_overlay_return"":0.0,""high_dispersion_threshold"":0.08240276991853526,""market_snapshot_hash"":""6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625"",""medium_dispersion_threshold"":0.07194193477815533,""nav"":100.0,""pending_overlay_cap"":null,""pending_regime"":null,""pending_target"":null,""row_type"":""BASELINE"",""satellite_weight"":0.12685088964616995,""satellite_weights"":{""EEM"":0.0,""EFA"":0.0,""IWM"":0.05675075161037069,""SPY"":0.0,""VNQ"":0.0,""XLE"":0.035696423516338276,""XLF"":0.0,""XLI"":0.0,""XLK"":0.034403714519460976,""XLP"":0.0,""XLU"":0.0,""XLV"":0.0,""XLY"":0.0},""signal_generated"":false,""strategy"":""V4"",""strategy_hash"":""a4c08098b3eefbfc9651d779a27997e0a80ae6a482063c2ff37a63f6a39609ab"",""top_signal_scores"":{""EEM"":0.18163003709013528,""SPY"":0.18416430581556045,""XLE"":1.6731743071918241,""XLK"":1.1577502502151111,""XLV"":0.8681313281476631},""transaction_cost_gbp"":0.0,""turnover"":0.0}"
2026-09-16,RM25,BASELINE,100,100,0,0,0,0.751817232541,0.248182767459,0,0,False,False,6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625,ddc403fa8f1e6e4a8f8056128f0f4d7b85b2369678a66284c4227ce484770e7e,GENESIS,934eebb4edb66bd8ea2ef295acb8713fb3215ba41182bac6f58ceb96cde318bd,"{""active_overlay_cap"":0.25,""active_regime"":""FIXED_25"",""active_return"":0.0,""benchmark_nav"":100.0,""benchmark_return"":0.0,""core_weight"":0.7518172325409438,""cost_drag_return"":0.0,""daily_return"":0.0,""date"":""2026-09-16"",""dispersion"":0.09228258307248971,""executed_pending"":false,""gross_overlay_return"":0.0,""high_dispersion_threshold"":0.08240276991853526,""market_snapshot_hash"":""6ac6eb2e49f1c875278ddd0808094ef5f28a1749fe41e09d8641604387aa3625"",""medium_dispersion_threshold"":0.07194193477815533,""nav"":100.0,""pending_overlay_cap"":null,""pending_regime"":null,""pending_target"":null,""row_type"":""BASELINE"",""satellite_weight"":0.2481827674590562,""satellite_weights"":{""EEM"":0.0,""EFA"":0.0,""IWM"":0.07898782176738374,""SPY"":0.0,""VNQ"":0.0,""XLE"":0.08889551432090606,""XLF"":0.0,""XLI"":0.0,""XLK"":0.08029943137076641,""XLP"":0.0,""XLU"":0.0,""XLV"":0.0,""XLY"":0.0},""signal_generated"":false,""strategy"":""RM25"",""strategy_hash"":""ddc403fa8f1e6e4a8f8056128f0f4d7b85b2369678a66284c4227ce484770e7e"",""top_signal_scores"":{""EEM"":0.18163003709013528,""SPY"":0.18416430581556045,""XLE"":1.6731743071918241,""XLK"":1.1577502502151111,""XLV"":0.8681313281476631},""transaction_cost_gbp"":0.0,""turnover"":0.0}"
